PID,Bucket
111331,Low
27477,Low
439072,Low
346329,Low
58664,Low
378804,Low
391628,Med
31220,Low
55964,Low
72108,Med
398863,Low
34340,Low
43577,Low
142511,Med
71156,Low
280758,Med
83374,Med
45300,Low
158150,Med
247403,Low
372919,Med
301990,Low
310838,Med
142665,Low
282904,Low
96180,Low
303611,Low
102761,Low
50289,Low
322705,Med
234132,Low
333828,Low
64959,Low
180239,Low
394371,Low
88942,Low
250383,Low
343878,Med
317474,Low
61356,Low
139901,Low
138027,Low
43322,Low
225799,Med
367348,Low
27349,Med
72337,Low
63572,Low
329220,Med
276337,Low
88322,Low
27416,Low
30595,Low
259653,Low
344518,Med
325982,Low
437975,Low
226208,Low
53178,Med
386213,Low
318685,Med
69098,Low
71623,Low
292858,Low
43033,Low
406619,Low
190524,Low
407738,Med
303497,Low
42057,Low
47370,Low
397376,Low
169774,Low
188750,Low
33678,Low
191414,Med
119464,Low
224452,Low
122280,Med
175245,Med
199120,Low
19324,Low
35027,Low
280700,Low
413598,Low
317758,Low
218622,Low
215719,Med
33399,Low
432756,Low
364105,Low
128418,Low
208902,Low
356393,Low
189405,Low
65973,Low
281030,Low
183826,Low
60220,Low
190119,Low
310225,Med
196350,Low
81797,Med
164656,Low
396636,Low
422674,Low
286763,Med
245650,Low
96009,Low
120313,Med
195797,Low
259311,Low
267190,Med
281137,Med
333684,Low
159089,Low
109139,Med
247874,Low
156421,Low
146562,Med
45346,Low
237865,Low
41555,Low
387118,Low
206997,Low
322486,Med
126504,Low
406072,Med
423163,Med
387798,Med
329509,Med
40731,Low
188341,Low
101868,Low
228173,Med
36715,Low
278407,Low
31011,Low
182874,Low
402168,Low
159071,Low
199735,Low
404377,Low
83564,Low
300645,Low
40313,Low
133594,Low
53467,Low
54075,Med
206397,Low
52192,Low
278295,Med
102730,Low
285314,Med
43454,Low
110610,Low
32542,Med
61355,Low
36494,Low
225578,Low
296629,Med
74736,Low
72951,Low
194399,Med
263718,Low
230248,Med
112594,Low
16250,Low
153565,Low
388951,Med
75817,Low
388193,Low
46531,Low
119266,Med
107622,Med
350070,Low
158466,Low
219222,Low
36984,Low
276414,Low
189282,Low
258227,Med
273205,Low
252089,Med
162383,Low
377320,Med
56006,Low
108910,Low
254326,Low
277095,Low
358899,Med
72485,Med
173095,Low
183640,Low
451691,Low
187317,Med
173097,Low
47462,Low
445585,Low
43824,Low
314403,Med
189920,Low
11055,Med
97053,Low
453999,Low
395041,Low
147114,Low
63228,Low
